"","site_id","latitude","longitude"
"1",1524,45.339485,-92.913094
"2",2,43.08535,-70.69133
"3",22,40.060001,-87.57
"4",40,43.242199,-88.288902
"5",712,38.531399,-77.2342
"6",719,38.528801,-77.231903
"7",721,47.001858,-118.566689
"8",720,38.530819,-77.234512
"9",742,32.157238,-111.08522
"10",750,34.508202,-93.258774
"11",754,42.199036,-91.654839
"12",714,38.793007,-78.026627
"13",770,39.28931,-76.712364
"14",459,36.524502,-92.751999
"15",790,43.269737,-71.330513
"16",814,35.67955,-86.939308
"17",858,39.249207,-120.953903
"18",865,39.123459,-119.740456
"19",374,38.059898,-87.641197
"20",870,39.230633,-76.832886
"21",878,41.597931,-87.063187
"22",903,41.869549,-87.790382
"23",792,42.57468,-71.786575
"24",918,34.913982,-80.93129
"25",947,34.914013,-80.931053
"26",977,41.85318,-72.669228
"27",984,34.914185,-80.931244
"28",973,42.285683,-84.128387
"29",1007,39.955685,-74.874466
"30",906,38.804558,-89.944405
"31",990,38.907368,-90.047646
"32",507,42.335072,-79.608025
"33",1044,41.348431,-81.841576
"34",1049,38.607044,-76.66803
"35",1053,39.352585,-76.6138
"36",1062,43.227459,-76.121017
"37",1109,44.750778,-108.767281
"38",27,32.224602,-110.906807
"39",1122,43.213402,-70.895088
"40",1147,33.863708,-84.534836
"41",1162,43.202087,-77.602692
"42",1167,40.096401,-75.970802
"43",1175,35.475189,-82.769226
"44",1192,40.373085,-74.121124
"45",1196,37.644703,-77.221733
"46",1274,47.754948,-122.357971
"47",489,40.287205,-74.53392
"48",637,44.34095,-72.46122
"49",1171,39.996834,-83.052658
"50",1327,42.546036,-71.3545
"51",443,42.304653,-83.70118
"52",414,44.277962,-70.315315
"53",1211,36.161465,-87.016701
"54",1212,36.161465,-87.016701
"55",1373,42.261772,-72.664558
"56",1385,38.845295,-77.329628
"57",1386,36.003922,-79.878731
"58",1404,44.137501,-72.65889
"59",1419,42.011166,-88.503304
"60",1439,35.177692,-83.313683
"61",1322,37.4659,-79.972916
"62",1442,39.948582,-86.052734
"63",1447,42.176537,-85.892448
"64",1317,47.677654,-122.033951
"65",1461,42.283501,-83.771729
"66",1464,38.971748,-77.730919
"67",258,39.184269,-106.854614
"68",1467,42.336765,-71.460106
"69",1476,34.750793,-82.344971
"70",384,41.214497,-85.126816
"71",1484,47.776241,-122.377419
"72",1513,33.849293,-84.386894
"73",44,40.633945,-75.662949
"74",1526,48.065807,-122.144325
"75",1536,39.039295,-94.437675
"76",1538,41.478088,-81.945312
"77",1550,44.341782,-72.461853
"78",1559,39.289673,-123.373718
"79",1562,42.296295,-83.765404
"80",1572,44.588772,-93.004623
"81",1580,38.25729,-85.633453
"82",1579,38.25724,-85.633087
"83",1453,41.808941,-72.188751
"84",1597,48.054951,-92.765915
"85",1599,48.051586,-92.764305
"86",1598,48.051636,-92.766304
"87",1625,40.752914,-73.888695
"88",1340,36.394688,-80.266373
"89",1641,37.990498,-121.819
"90",1636,42.825718,-106.352692
"91",1646,42.763412,-78.619591
"92",1656,39.676964,-104.963707
"93",1658,39,-104
"94",1659,39.676964,-104.963707
"95",1657,39.603176,-105.071312
"96",1662,39.676964,-104.963707
"97",1665,39.674335,-104.962143
"98",1666,39.676964,-104.963707
"99",5509,45.407852,-93.199257
"100",5951,45.407852,-93.199257
"101",2394,45.425339,-93.186249
"102",1664,39.676964,-104.963707
"103",1668,40.866283,-73.875717
"104",1678,39,-104
"105",1673,39,-104
"106",1677,39.801991,-105.154099
"107",1679,39.674145,-104.977135
"108",1674,39.673592,-104.979774
"109",1683,39.67485,-104.965225
"110",1685,39.67532,-104.964172
"111",1686,39.673592,-104.979774
"112",1682,39.67532,-104.964256
"113",1688,39,-104
"114",1691,39.673592,-104.979774
"115",1694,39,-104
"116",1702,39.674541,-104.962128
"117",1703,39.550053,-105.782066
"118",1708,39.674839,-104.964058
"119",1707,39.674839,-104.964058
"120",1709,39.674839,-104.964058
"121",1710,39.683365,-104.963852
"122",1706,39.675404,-104.957527
"123",1713,39.676239,-104.965233
"124",1712,39.676239,-104.965233
"125",1714,39.676998,-104.962372
"126",1715,39.676239,-104.965233
"127",1716,39.673592,-104.979774
"128",1720,39.675037,-104.96505
"129",681,41.296783,-105.5746
"130",1738,39.678379,-104.962006
"131",1741,39.678379,-104.962692
"132",1745,39.678379,-104.962006
"133",1747,39.677952,-104.962868
"134",1748,39.671913,-104.963905
"135",1752,39.674839,-104.961227
"136",1753,39.674839,-104.961227
"137",1750,39.674839,-104.961227
"138",1768,39.676628,-104.959389
"139",1776,39.67485,-104.965225
"140",1781,44.046604,-92.460861
"141",1737,39.755093,-104.988121
"142",1794,39.67802,-104.962914
"143",1795,39,-104
"144",703,37.576965,-106.100365
"145",688,44.013,-96.324997
"146",1802,38.463612,-120.044144
"147",1807,45.949032,-90.45134
"148",177,43.970085,-74.21788
"149",1813,64.825249,-147.937912
"150",1836,40.579308,-85.655182
"151",1858,39.755093,-104.988121
"152",6313,45.104584,-114.859993
"153",1863,39.677963,-104.962868
"154",1865,39.755093,-104.988121
"155",1866,39.679447,-104.960808
"156",1871,39.755093,-104.988121
"157",1870,39.676628,-104.959396
"158",1872,39.67844,-104.927902
"159",1874,39.671867,-104.963852
"160",1879,39.678509,-104.962807
"161",1880,39.67675,-104.965248
"162",1886,39.755093,-104.988121
"163",1758,39.673939,-104.962479
"164",1887,39.667889,-104.974792
"165",1888,39.674843,-104.96524
"166",1851,39.674843,-104.961266
"167",1895,42.181206,-90.260826
"168",6311,45.101624,-114.851257
"169",6312,45.102623,-114.85704
"170",1915,41.78344,-73.732552
"171",1968,40.973251,-96.775993
"172",1999,35.665276,-85.751808
"173",2119,40.862221,-73.875191
"174",2180,35.393581,-77.956345
"175",2190,34.134914,-118.12973
"176",2206,44.506142,-103.911102
"177",2335,31.969622,-98.886833
"178",20250,40.976376,-73.689102
"179",1068,38.776115,-75.152031
"180",48,37.956501,-119.119499
"181",1600,33.890087,-117.920609
"182",183,48.614853,-100.726822
"183",1605,40.907997,-73.120705
"184",261,39.098499,-104.834297
"185",1841,39.973316,-82.802826
"186",1985,35.97707,-77.797409
"187",1081,32.259979,-110.946693
"188",2120,40.863445,-73.876656
"189",2195,39.999107,-75.388504
"190",2205,34.048927,-111.093735
"191",101,37.169998,-98.029999
"192",2222,42.545998,-71.355217
"193",2242,32.27663,-110.914108
"194",2251,45.4856,-122.855499
"195",2271,39.140881,-77.081757
"196",655,47.669998,-122.28653
"197",2283,39.36087,-79.689758
"198",2330,32.359924,-110.930717
"199",10,32.280167,-110.963211
"200",2346,35.88015,-78.704681
"201",2348,35.926178,-78.692719
"202",2359,35.885155,-78.709969
"203",2382,35.937126,-78.714729
"204",2399,35.890587,-78.724548
"205",1581,42.088829,-70.936188
"206",2410,47.515331,-93.470726
"207",2419,35.885632,-78.693634
"208",2424,35.875225,-78.737076
"209",2439,40.108791,-88.219818
"210",38,45.407852,-93.200974
"211",2395,45.402004,-93.204147
"212",2442,37.228249,-80.421249
"213",2448,35.886166,-78.710281
"214",2447,35.914932,-78.709885
"215",2450,35.897144,-78.723114
"216",2460,37.229572,-80.41394
"217",2463,37.227047,-80.421585
"218",2466,37.225433,-80.427216
"219",2467,37.214928,-80.450165
"220",2468,37.230145,-80.419464
"221",2469,37.229122,-80.421677
"222",2470,37.230717,-80.420692
"223",2480,37.231236,-80.419174
"224",2492,42.166382,-88.400749
"225",2500,37.22961,-80.424622
"226",2526,42.309818,-71.120331
"227",2549,35.914001,-79.042
"228",2551,37.227528,-80.422066
"229",2558,28.655745,-81.465996
"230",2570,35.913548,-79.044548
"231",2573,35.914001,-79.042
"232",2580,35.914532,-79.042107
"233",2581,35.914001,-79.042
"234",2584,35.914982,-79.040497
"235",2587,35.914001,-79.042
"236",2544,35.914001,-79.042
"237",2596,47.531052,-93.469864
"238",2475,47.559181,-93.487068
"239",2605,44.8531,-68.106224
"240",2623,40.710339,-81.885284
"241",2679,37.230728,-80.4207
"242",2479,37.229851,-80.420731
"243",2680,37.231167,-80.421295
"244",2681,37.230721,-80.422562
"245",2682,37.230709,-80.422813
"246",2683,37.23016,-80.421524
"247",2684,37.228733,-80.420135
"248",2697,37.229057,-80.426079
"249",2702,37.228088,-80.423294
"250",2703,37.230114,-80.419579
"251",2706,37.227493,-80.422112
"252",2709,37.227661,-80.422279
"253",2725,37.229572,-80.41394
"254",2722,37.230324,-80.42009
"255",2723,37.230427,-80.423874
"256",2731,37.230972,-80.419189
"257",2724,37.230556,-80.422478
"258",2729,37.228935,-80.423027
"259",2726,37.22863,-80.418022
"260",2728,37.229164,-80.417206
"261",2732,37.230095,-80.419609
"262",2736,37.227619,-80.422264
"263",2734,37.227566,-80.422112
"264",2738,37.233208,-80.424484
"265",2730,37.230164,-80.42009
"266",2741,37.229572,-80.41394
"267",2740,37.229572,-80.41394
"268",2745,37.227654,-80.422218
"269",2746,37.229893,-80.421501
"270",2772,36.440838,-84.323586
"271",2779,38.193707,-95.071747
"272",2803,39.971001,-105.397003
"273",4881,28.045185,-82.706299
"274",5533,45.568195,-116.973862
"275",2316,42.326572,-70.926453
"276",5037,67.252335,-150.183746
"277",5076,64.925751,-147.880295
"278",5078,64.913361,-147.83815
"279",2390,42.382767,-85.343567
"280",5157,40.973251,-96.757942
"281",5206,36.902622,-76.206039
"282",5207,36.904579,-76.19651
"283",5208,36.90799,-76.196022
"284",5556,63.362926,-143.407639
